Local Date of Joining,Designation,Status,Market Unit,SkillList,Location
31/10/2016,CONSULTANT,Billable,BANK,Salesforce (Functional),Bangalore
20/11/2014,SENIOR SOFTWARE ENGINEER,Billable,BANK,"AWS - Build , Administration and integration",Bhubaneswar
15/12/2014,ASSOCIATE CONSULTANT,Billable,BANK,"AWS - Build , Administration and integration",Pune
26/02/2015,ASSOCIATE CONSULTANT,Billable,BANK,Test Automation,Bhubaneswar
02/12/2013,CONSULTANT,Billable,BANK,PMO (Account),Noida
19/01/2012,ASSOCIATE CONSULTANT,Billable,BANK,Salesforce (Functional),Gurgaon
01/10/2009,MANAGER,Billable,BANK,"Testing Manual,Banking,Test Automation",Noida
08/01/2015,SENIOR MANAGER,Billable,BANK,"AWS - Build , Administration and integration",Gurgaon
12/08/2013,SENIOR MANAGER,Billable,INS,Angular.js,Pune
24/01/2013,SENIOR CONSULTANT,Billable,INS,Angular.js,Pune
20/12/2012,SENIOR CONSULTANT,Billable,INS,POSTGRESQL,Noida
22/09/2011,SENIOR CONSULTANT,Billable,INS,Informatica MDM (formerly Syperian),Hyderabad
25/02/2013,CONSULTANT,Billable,INS,Informatica MDM (formerly Syperian),Bhubaneswar
31/10/2013,CONSULTANT,Billable,INS,Informatica MDM (formerly Syperian),Noida
24/11/2014,SENIOR CONSULTANT,Billable,INS,Angular.js,Chennai
22/07/2013,SENIOR CONSULTANT,Billable,INS,Angular.js,Gurgaon
06/10/2014,SENIOR CONSULTANT,Billable,INS,Java,Pune
09/03/2015,ASSOCIATE CONSULTANT,Billable,INS,Java,Gurgaon
30/12/2005,MANAGER,Billable,INS,Java,Chennai
16/09/2013,MANAGER,Billable,INS,Test Environment Management,Pune
14/02/2011,DIRECTOR,Billable,INS,Test Environment Management,Noida
24/06/2013,SENIOR CONSULTANT,Billable,INS,Selenium,Hartford
29/12/2014,CONSULTANT,Billable,INS,Selenium,Noida
26/07/2011,SENIOR MANAGER,Bench,INS,Quick Test Pro,Bangalore
20/05/2013,SENIOR CONSULTANT,Billable,INS,Selenium,Hartford
12/04/2018,,Billable,INS,Selenium,Hyderabad
28/04/2014,ASSOCIATE CONSULTANT,Billable,INS,CRM - Salesforce.com,Hyderabad
26/02/2015,ASSOCIATE CONSULTANT,Billable,INS,PMO (Project),Gurgaon
27/07/2015,SENIOR DIRECTOR,Billable,INS,MS/Windows Dev OPS,Pune
06/02/2017,SENIOR CONSULTANT,Billable,INS,MS/Windows Dev OPS,Pune
06/10/2014,CONSULTANT,Billable,INS,MS/Windows Dev OPS,Chennai
15/06/2015,SENIOR CONSULTANT,Billable,INS,MS/Windows Dev OPS,Pune
18/06/2012,CONSULTANT,Billable,INS,MS/Windows Dev OPS,Hartford
03/10/2016,SENIOR CONSULTANT,Billable,INS,MS/Windows Dev OPS,Gurgaon
14/10/2013,SENIOR CONSULTANT,Billable,INS,MS/Windows Dev OPS,Bhubaneswar
01/09/2014,ASSOCIATE CONSULTANT,Billable,INS,MS/Windows Dev OPS,Hyderabad
03/11/2008,SENIOR CONSULTANT,Billable,INS,MS/Windows Dev OPS,Pune
07/07/2014,SENIOR CONSULTANT,Billable,INS,MS/Windows Dev OPS,Bangalore
29/08/2016,MANAGER,Bench,INS,MS/Windows Dev OPS,Hartford
16/08/2010,ASSOCIATE CONSULTANT,Billable,INS,MS/Windows Dev OPS,Hartford
09/02/2018,MANAGER,Billable,INS,MS/Windows Dev OPS,Pune
09/03/2015,MANAGER,Billable,INS,MS/Windows Dev OPS,Bhubaneswar
21/03/2013,CONSULTANT,Billable,INS,MS/Windows Dev OPS,Hyderabad
15/01/2015,MANAGER,Billable,INS,MS/Windows Dev OPS,Hartford
28/05/2015,CONSULTANT,Billable,INS,MS/Windows Dev OPS,Gurgaon
11/04/2005,SENIOR CONSULTANT,Billable,INS,MS/Windows Dev OPS,Noida
01/03/2006,MANAGER,Billable,INS,MS/Windows Dev OPS,Pune
19/03/2015,ASSOCIATE CONSULTANT,Billable,INS,MS/Windows Dev OPS,Gurgaon
12/10/2015,MANAGER,Billable,INS,MS/Windows Dev OPS,Bangalore
01/01/2014,MANAGER,Billable,INS,MS/Windows Dev OPS,Pune
20/06/2013,SENIOR MANAGER,Billable,INS,MS/Windows Dev OPS,Hyderabad
10/04/2015,MANAGER,Billable,INS,Selenium,Bhubaneswar
25/11/2013,ASSOCIATE CONSULTANT,Billable,INS,Selenium,Pune
20/06/2013,ASSOCIATE CONSULTANT,Billable,INS,Selenium,Gurgaon
22/09/2014,SENIOR MANAGER,Billable,INS,Selenium,Bangalore
14/11/2013,SENIOR CONSULTANT,Billable,INS,Selenium,Bhubaneswar
11/04/1994,VICE PRESIDENT,Billable,INS,Selenium,Noida
15/01/2018,SENIOR MANAGER,Bench,INS,MS/Windows Dev OPS,Pune
02/04/2013,SENIOR CONSULTANT,Billable,INS,MS/Windows Dev OPS,Gurgaon
18/08/2014,SENIOR CONSULTANT,Billable,INS,MS/Windows Dev OPS,Gurgaon
03/01/2013,CONSULTANT,Billable,INS,Angular.js,Bhubaneswar
24/03/2014,ASSOCIATE CONSULTANT,Billable,INS,Angular.js,Noida
24/09/2012,SENIOR CONSULTANT,Billable,INS,Angular.js,Noida
27/03/2014,ASSOCIATE CONSULTANT,Billable,INS,Angular.js,Gurgaon
21/09/2015,SENIOR CONSULTANT,Billable,INS,Angular.js,Noida
27/12/2010,MANAGER,Bench,INS,Angular.js,Bhubaneswar
05/07/2012,MANAGER,Billable,INS,Angular.js,Bhubaneswar
30/03/2015,MANAGER,Billable,INS,Angular.js,Gurgaon
23/09/2015,SENIOR CONSULTANT,Billable,INS,Angular.js,Pune
27/11/2017,CONSULTANT,Billable,INS,CRM - Salesforce.com,Bangalore
19/07/2010,SENIOR CONSULTANT,Billable,INS,Informatica MDM (formerly Syperian),Hartford
16/04/2015,CONSULTANT,Billable,INS,Informatica MDM (formerly Syperian),Bhubaneswar
09/06/2015,MANAGER,Billable,INS,Informatica MDM (formerly Syperian),Gurgaon
16/03/2015,SENIOR CONSULTANT,Billable,INS,Informatica MDM (formerly Syperian),Pune
21/03/2011,CONSULTANT,Billable,INS,Informatica PowerCenter ETL,Noida
13/09/2010,MANAGER,Billable,INS,CRM - Salesforce.com,Bhubaneswar
24/08/2010,SENIOR CONSULTANT,Billable,INS,MS/Windows Dev OPS,Gurgaon
15/05/2014,MANAGER,Billable,INS,CRM - Salesforce.com,Bhubaneswar
28/12/2013,MANAGER,Bench,INS,Informatica PowerCenter ETL,Hyderabad
05/07/2010,SENIOR MANAGER,Billable,INS,Salesforce (Technical),Bangalore
01/03/2014,SENIOR CONSULTANT,Billable,INS,Java,Bhubaneswar
16/01/2017,PORTFOLIO MANAGER,Billable,INS,Splunk,Gurgaon
19/09/2017,MANAGER,Billable,INS,Splunk,Bhubaneswar
27/09/2017,CONSULTANT,Billable,INS,SQL,Hyderabad
27/09/2010,SENIOR CONSULTANT,Billable,INS,"Informatica PowerCenter ETL,IBM Datastage",Gurgaon
25/07/2011,MANAGER,Billable,INS,Talend,Pune
15/04/2013,MANAGER,Billable,INS,Talend,Hyderabad
27/11/2017,CONSULTANT,Billable,BANK,BLUE PRISM,Pune
19/03/2018,SENIOR CONSULTANT,Billable,INS,Test Data Generation,Noida
